City_ID,City,Country,Max Temp,current Description,Lat,Lng,Hotel Name
125,Muli,MV,82.02,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
127,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
132,Ndele,CF,83.19,scattered clouds,8.4109,20.6473,
138,Cavalcante,BR,79.2,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
141,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
150,East London,ZA,77.94,light rain,-33.0153,27.9116,Tu Casa
154,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
157,San Angelo,US,80.98,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
158,Itarema,BR,87.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
171,Port Lavaca,US,81.99,overcast clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
184,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
197,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
198,Buchanan,LR,87.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
203,Araouane,ML,78.82,overcast clouds,18.9048,-3.5265,
209,Manaure,CO,86.32,broken clouds,11.7751,-72.4445,Hotel Palaaima
212,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
216,Luganville,VU,79.36,broken clouds,-15.5333,167.1667,The Espiritu Hotel
219,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
221,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
222,Inirida,CO,89.92,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
224,Gondanglegi,ID,76.53,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
225,Kanniyakumari,IN,79.79,broken clouds,8.0833,77.5667,Sparsa
227,Tabou,CI,83.61,scattered clouds,4.423,-7.3528,hotêl doufoulougou
229,Dhidhdhoo,MV,82.47,broken clouds,6.8833,73.1,Dhidhoo beach
262,Adrar,MR,77.14,overcast clouds,20.5022,-10.0711,
265,Port-Gentil,GA,81.93,light rain,-0.7193,8.7815,Fengshui Residence
271,San Policarpo,PH,79.9,overcast clouds,12.1791,125.5072,Agapita M. Nicart
272,Progreso,MX,87.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
274,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
277,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
280,Faanui,PF,81.12,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
298,Matara,LK,76.68,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
301,Sarangani,PH,83.05,light rain,5.4033,125.4636,Ballistic Islet
305,Samarai,PG,81.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
306,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
308,Lebowakgomo,ZA,76.1,broken clouds,-24.2,29.5,Chuene Resort
313,Richards Bay,ZA,77.56,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
317,Cabo San Lucas,MX,78.1,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
318,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
321,Zemio,CF,81.01,broken clouds,5.0314,25.1361,OCHA Office
