City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Pyapon,MM,2021-12-07 19:14:00,16.2833,95.6833,68.95,74,0,3.67
164,Cabo San Lucas,MX,2021-12-07 19:14:00,22.8909,-109.9124,84.51,41,20,6.91
165,Prince Rupert,CA,2021-12-07 19:05:13,54.3161,-130.3201,35.69,100,90,3.44
166,Lorvao,PT,2021-12-07 19:14:00,40.2594,-8.3168,56.68,94,100,11.83
167,Codrington,AU,2021-12-07 19:06:20,-38.2667,141.9667,49.41,65,21,10.94
168,Whitehorse,CA,2021-12-07 19:11:43,60.7161,-135.0538,8.91,94,96,7.63
169,Bengkulu,ID,2021-12-07 19:07:33,-3.8004,102.2655,74.97,87,41,4.34
170,Tabou,CI,2021-12-07 19:14:01,4.423,-7.3528,80.38,82,2,6.58
171,Iranshahr,IR,2021-12-07 19:14:01,27.2025,60.6848,59.07,30,0,0.98
172,Saint-Joseph,RE,2021-12-07 19:14:02,-21.3667,55.6167,75.58,81,17,11.59
173,Santa Barbara,US,2021-12-07 19:12:12,34.7333,-120.0343,59.77,83,90,0.0
174,Port Elizabeth,ZA,2021-12-07 19:06:20,-33.918,25.5701,63.1,85,10,2.93
175,Faanui,PF,2021-12-07 19:14:02,-16.4833,-151.75,80.51,75,6,7.72
176,Caravelas,BR,2021-12-07 19:14:03,-17.7125,-39.2481,74.23,93,100,6.71
177,Osa,RU,2021-12-07 19:14:03,57.2829,55.4567,7.45,87,100,3.0
178,Fairbanks,US,2021-12-07 19:05:01,64.8378,-147.7164,19.36,85,90,0.0
179,Cocobeach,GA,2021-12-07 19:14:04,1.0002,9.5823,80.56,84,100,6.04
180,Svetlyy,RU,2021-12-07 19:14:04,54.675,20.1347,8.65,85,10,9.28
181,Seoul,KR,2021-12-07 19:09:14,37.5683,126.9778,40.44,77,0,2.93
182,Gamba,GA,2021-12-07 19:14:04,-2.65,10.0,77.76,91,100,5.28
183,Mindelo,CV,2021-12-07 19:15:05,16.8901,-24.9804,74.75,60,93,24.16
184,Polessk,RU,2021-12-07 19:11:29,54.862,21.1028,8.65,87,15,8.3
185,Waipawa,NZ,2021-12-07 19:15:06,-41.4122,175.5153,59.45,92,64,1.81
