City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
154,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,65,20,13.8,few clouds
155,San Cristobal,VE,7.7669,-72.225,71.78,62,83,1.12,broken clouds
156,Roald,NO,62.5833,6.1333,37.54,56,0,13.8,clear sky
157,San Angelo,US,31.4638,-100.437,80.98,40,1,1.99,clear sky
158,Itarema,BR,-2.9248,-39.9167,87.42,58,97,15.39,overcast clouds
159,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.99,48,1,6.91,clear sky
160,Chuy,UY,-33.6971,-53.4616,73.02,53,19,12.19,few clouds
161,Prince Rupert,CA,54.3161,-130.3201,39.29,93,90,17.27,moderate rain
162,Mamontovo,RU,52.7055,81.6244,7.83,87,92,6.85,overcast clouds
163,Provideniya,RU,64.3833,-173.3,-8.32,91,22,10.8,few clouds
164,Fairbanks,US,64.8378,-147.7164,15.76,82,90,5.75,light snow
165,Guerrero Negro,MX,27.9769,-114.0611,64.71,68,36,14.54,scattered clouds
166,Krasnyy Yar,RU,46.5331,48.3456,35.53,77,100,12.93,overcast clouds
167,Porbandar,IN,21.6422,69.6093,75.04,52,0,14.54,clear sky
168,Vardo,NO,70.3705,31.1107,24.78,86,75,25.32,broken clouds
169,Spirit River,CA,55.7833,-118.8361,25.75,69,70,11.41,broken clouds
170,Pisco,PE,-13.7,-76.2167,72.01,78,75,6.91,broken clouds
171,Port Lavaca,US,28.615,-96.6261,81.99,86,90,19.57,overcast clouds
172,Isetskoye,RU,56.4858,65.3226,19.51,80,100,8.61,overcast clouds
173,Klaksvik,FO,62.2266,-6.589,36.52,71,69,19.42,broken clouds
174,Dubbo,AU,-32.25,148.6167,51.93,93,22,4.61,few clouds
175,Saint Anthony,US,45.0205,-93.218,31.24,82,90,1.01,light snow
176,Yellowknife,CA,62.456,-114.3525,-7.71,96,79,2.53,broken clouds
177,Esperantina,BR,-3.9017,-42.2336,93.13,43,86,3.44,overcast clouds
178,San Julian,MX,21.0167,-102.1667,67.01,22,100,3.51,overcast clouds
179,Teguldet,RU,57.3064,88.1667,7.09,93,100,8.28,overcast clouds
180,Lowestoft,GB,52.4752,1.7516,42.17,82,100,21.72,overcast clouds
181,Panguna,PG,-6.3164,155.4848,70.16,95,100,0.83,light rain
182,Calatayud,ES,41.3535,-1.6432,63.18,74,93,11.05,overcast clouds
183,Mount Gambier,AU,-37.8333,140.7667,50.65,77,71,7.99,broken clouds
184,Kununurra,AU,-15.7667,128.7333,80.58,83,97,4.61,overcast clouds
185,Vostok,RU,46.4856,135.8833,27.79,99,100,2.93,light snow
186,Bredasdorp,ZA,-34.5322,20.0403,63.28,68,80,8.59,broken clouds
187,Shakhovskaya,RU,56.0283,35.5097,10.96,85,12,10.87,few clouds
188,Luderitz,NA,-26.6481,15.1594,66.7,73,0,16.17,clear sky
189,Constitucion,CL,-35.3333,-72.4167,64.38,74,52,12.64,broken clouds
190,Chokurdakh,RU,70.6333,147.9167,-47.33,100,68,3.49,broken clouds
191,Shizilu,CN,35.1711,118.8289,43.66,68,100,3.98,overcast clouds
192,Lufilufi,WS,-13.8745,-171.5986,73.18,70,100,12.8,overcast clouds
193,Luan,CH,46.3592,6.9759,32.65,90,100,3.0,light snow
194,Dunmore East,IE,52.1514,-6.9861,42.24,80,0,5.75,clear sky
195,Price,US,39.5994,-110.8107,26.11,50,1,16.11,clear sky
196,Hami,CN,42.8,93.45,25.92,45,16,6.76,few clouds
197,Souillac,MU,-20.5167,57.5167,79.18,69,40,6.91,scattered clouds
198,Buchanan,LR,5.8808,-10.0467,87.76,74,64,10.63,light rain
199,Tukrah,LY,32.5341,20.5791,61.38,53,87,8.79,overcast clouds
200,Fort Nelson,CA,58.8053,-122.7002,-4.41,84,75,3.44,broken clouds
201,Bonavista,CA,48.6499,-53.1147,28.11,71,96,21.77,overcast clouds
202,Jasper,US,37.2001,-94.3502,68.34,73,20,7.0,few clouds
203,Araouane,ML,18.9048,-3.5265,78.82,8,100,9.44,overcast clouds
204,Brae,GB,60.3964,-1.353,40.91,86,100,9.71,overcast clouds
205,Lishan,CN,31.8576,113.2951,51.12,70,100,11.48,overcast clouds
206,Marsala,IT,37.7966,12.4352,57.99,94,40,24.16,scattered clouds
207,Dumas,US,35.8656,-101.9732,65.66,33,75,40.29,haze
208,Tilichiki,RU,60.4667,166.1,-15.52,88,64,10.27,broken clouds
209,Manaure,CO,11.7751,-72.4445,86.32,58,62,17.25,broken clouds
210,Ilhabela,BR,-23.7781,-45.3581,75.11,69,14,4.47,few clouds
211,Bengkulu,ID,-3.8004,102.2655,74.57,93,99,4.07,overcast clouds
212,Cayenne,GF,4.9333,-52.3333,82.44,89,75,4.61,broken clouds
213,Long Xuyen,VN,10.3833,105.4167,73.35,77,98,0.25,overcast clouds
214,Mokhsogollokh,RU,61.4681,128.9203,-8.0,100,99,1.23,overcast clouds
215,Hamilton,US,39.1834,-84.5333,57.04,84,90,1.01,overcast clouds
216,Luganville,VU,-15.5333,167.1667,79.36,86,78,2.98,broken clouds
217,Nemuro,JP,43.3236,145.575,39.09,78,54,3.74,broken clouds
218,Orel-Izumrud,RU,43.4583,39.9244,46.42,87,0,6.71,clear sky
219,Tautira,PF,-17.7333,-149.15,80.62,64,85,13.91,overcast clouds
220,Newtownards,GB,54.5924,-5.6909,40.95,85,57,3.0,broken clouds
221,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,73,19,8.52,few clouds
222,Inirida,CO,3.8653,-67.9239,89.92,59,47,3.04,scattered clouds
223,Upernavik,GL,72.7868,-56.1549,-0.27,86,87,6.17,overcast clouds
224,Gondanglegi,ID,-7.7479,112.0132,76.53,91,100,6.85,overcast clouds
225,Kanniyakumari,IN,8.0833,77.5667,79.79,77,73,16.22,broken clouds
226,Wakkanai,JP,45.4094,141.6739,46.2,75,100,17.16,overcast clouds
227,Tabou,CI,4.423,-7.3528,83.61,69,27,8.08,scattered clouds
228,Les Escoumins,CA,48.1111,-69.0236,13.35,73,100,10.92,overcast clouds
229,Dhidhdhoo,MV,6.8833,73.1,82.47,73,67,4.47,broken clouds
230,Laguna,US,38.421,-121.4238,49.33,81,1,1.01,clear sky
231,Narsaq,GL,60.9167,-46.05,34.02,59,100,12.95,overcast clouds
232,Avera,US,33.194,-82.5271,54.91,93,99,4.88,overcast clouds
233,Cidreira,BR,-30.1811,-50.2056,71.19,54,20,8.75,few clouds
234,Warrnambool,AU,-38.3833,142.4833,55.81,69,100,12.01,overcast clouds
235,Yalta,UA,44.5,34.1667,55.62,83,29,11.7,scattered clouds
236,Gimbi,ET,9.1667,35.8333,60.96,29,6,0.67,clear sky
237,Neyshabur,IR,36.2133,58.7958,50.02,31,1,3.98,clear sky
238,Magadan,RU,59.5667,150.8,8.24,91,97,5.79,overcast clouds
239,Mastung,PK,29.7994,66.845,45.25,16,19,1.7,few clouds
240,Sur,OM,22.5667,59.5289,73.13,54,0,6.44,clear sky
241,Kruisfontein,ZA,-34.0033,24.7314,75.88,83,30,4.27,scattered clouds
242,Lebu,CL,-37.6167,-73.65,61.83,74,37,11.97,scattered clouds
243,Geraldton,AU,-28.7667,114.6,68.13,77,90,4.61,overcast clouds
244,San Quintin,MX,30.4833,-115.95,60.15,54,8,12.48,clear sky
245,Airai,TL,-8.9266,125.4092,61.56,90,99,0.67,overcast clouds
246,Floriano,BR,-6.7669,-43.0225,90.43,54,55,2.01,broken clouds
247,Zhigansk,RU,66.7697,123.3711,-6.81,96,100,17.22,overcast clouds
248,Pestretsy,RU,55.7531,49.6545,12.34,90,6,10.22,clear sky
249,Carnarvon,AU,-24.8667,113.6333,71.67,78,0,19.57,clear sky
250,Aswan,EG,24.0934,32.907,74.19,36,96,9.8,overcast clouds
251,Hofn,IS,64.2539,-15.2082,32.02,74,0,6.91,clear sky
252,Berlevag,NO,70.8578,29.0864,24.8,74,0,12.66,clear sky
253,Henties Bay,NA,-22.116,14.2845,62.85,76,5,8.46,clear sky
254,Qaanaaq,GL,77.484,-69.3632,0.99,75,97,6.08,overcast clouds
255,Najran,SA,17.4924,44.1277,57.85,30,1,4.97,clear sky
256,Chernogolovka,RU,56.0,38.3667,10.22,93,6,7.2,clear sky
257,Fukuma,JP,33.7667,130.4667,51.04,75,6,3.62,clear sky
